iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.6038351975	0.6831815989	0.7403987611	0.5280112045	0.5098039216	0.5098039216
1	0.642462278	0.6731526283	0.715693599	0.4968299712	0.5828262339	0.5828262339
2	0.6463392803	0.6637727342	0.7192004095	0.5011547344	0.5868830291	0.5868830291
3	0.6121822638	0.6557961769	0.7387291104	0.5258503401	0.5226504395	0.5226504395
4	0.6223812333	0.6482362267	0.7403326809	0.5279255319	0.5368492224	0.5368492224
5	0.6271429735	0.6421335887	0.7397552842	0.5271774722	0.5442866802	0.5442866802
6	0.6338641649	0.6351428702	0.7351064301	0.5211891208	0.5571331981	0.5571331981
7	0.6316593253	0.629798797	0.7362711646	0.5226837061	0.553076403	0.553076403
8	0.6317508625	0.623873035	0.7389317604	0.5261121857	0.5517241379	0.5517241379
9	0.6258051537	0.6194330182	0.7423172484	0.5305039788	0.5409060176	0.5409060176
10	0.6255359229	0.6149449983	0.7454067011	0.5345405768	0.53887762	0.53887762
11	0.6250340227	0.6107001609	0.7465759479	0.5360755226	0.537525355	0.537525355
12	0.6286680772	0.6066341432	0.7465550581	0.5360480641	0.5429344151	0.5429344151
13	0.6316461463	0.6022474953	0.7435490412	0.5321100917	0.5490196078	0.5490196078
14	0.6309211439	0.5987120663	0.7427799286	0.5311067453	0.5483434753	0.5483434753
15	0.6276490172	0.5960843573	0.7449596268	0.533954727	0.5422582826	0.5422582826
16	0.6299952822	0.5930369073	0.7439472064	0.5326301912	0.5463150778	0.5463150778
17	0.6274971983	0.5898335715	0.7458104403	0.5350701403	0.5415821501	0.5415821501
18	0.6258824888	0.5867522372	0.7450984244	0.5341365462	0.5395537525	0.5395537525
19	0.6295572855	0.5840945508	0.7439801679	0.5326732673	0.5456389452	0.5456389452
20	0.6301438863	0.5821124117	0.7431102453	0.5315374507	0.5469912103	0.5469912103
21	0.6288071643	0.5799424876	0.748230983	0.5382550336	0.5422582826	0.5422582826
22	0.6321750281	0.5782250176	0.7462651336	0.535667107	0.5483434753	0.5483434753
23	0.6347353855	0.5768129668	0.7446843257	0.5335942596	0.553076403	0.553076403
24	0.6381852811	0.5754826615	0.7444191486	0.5332472563	0.5584854632	0.5584854632
25	0.6374657334	0.5741443962	0.7436623584	0.5322580645	0.5578093306	0.5578093306
26	0.6354990253	0.5718751454	0.7419151652	0.5299806576	0.5557809331	0.5557809331
27	0.636315607	0.5707834069	0.7429362399	0.5313105229	0.5564570656	0.5564570656
28	0.6375623492	0.5699387395	0.7439253875	0.5326016785	0.5578093306	0.5578093306
29	0.6373255935	0.5687502299	0.7444849425	0.5333333333	0.5571331981	0.5571331981
30	0.6408106282	0.5679297905	0.7455656727	0.5347490347	0.5618661258	0.5618661258
31	0.639720936	0.5670545703	0.7461955253	0.5355756792	0.5598377282	0.5598377282
32	0.6387660219	0.5657735937	0.7460014198	0.5353208036	0.5584854632	0.5584854632
33	0.639236636	0.565200592	0.7448789959	0.5338491296	0.5598377282	0.5598377282
34	0.6411014984	0.5639368111	0.7463536311	0.5357833656	0.5618661258	0.5618661258
35	0.6411593949	0.5626305341	0.7477074814	0.5375647668	0.5611899932	0.5611899932
36	0.6488816305	0.5619167611	0.747315744	0.537048765	0.5733603786	0.5733603786
37	0.6478745153	0.5609538634	0.7423808239	0.5305867665	0.5747126437	0.5747126437
38	0.650240084	0.5603678947	0.7396390728	0.527027027	0.5801217039	0.5801217039
39	0.650308584	0.5588854099	0.7409188981	0.5286859963	0.5794455713	0.5794455713
40	0.65133198	0.5584778682	0.7413661017	0.5292667899	0.5807978364	0.5807978364
