iter	Passed	Remaining
0	7	7218
1	14	7100
2	18	6144
3	22	5480
4	25	5063
5	27	4636
6	31	4432
7	34	4267
8	37	4141
9	40	3996
10	43	3925
11	46	3787
12	49	3735
13	52	3688
14	55	3649
15	58	3624
16	61	3572
17	64	3523
18	67	3480
19	69	3408
20	72	3384
21	75	3353
22	78	3324
23	81	3298
24	83	3273
25	86	3255
26	89	3232
27	92	3210
28	95	3192
29	98	3175
30	101	3158
31	103	3143
32	106	3125
33	109	3110
34	112	3097
35	115	3088
36	118	3081
37	121	3073
38	124	3080
39	127	3052
40	130	3043
41	133	3035
42	135	3026
43	138	3019
44	141	3010
45	143	2979
46	146	2973
47	149	2966
48	152	2958
49	155	2950
50	158	2942
51	161	2936
52	163	2928
53	166	2921
54	169	2914
55	172	2907
56	175	2900
57	178	2895
58	181	2888
59	183	2881
60	186	2875
61	189	2868
62	192	2864
63	195	2858
64	198	2853
65	201	2847
66	204	2842
67	206	2836
68	209	2830
69	212	2826
70	215	2823
71	218	2818
72	221	2813
73	225	2817
74	228	2812
75	230	2808
76	233	2804
77	235	2788
78	239	2789
79	242	2786
80	245	2782
81	248	2778
82	251	2773
83	253	2769
84	256	2764
85	259	2759
86	262	2755
87	265	2751
88	268	2748
89	271	2744
90	274	2739
91	277	2735
92	280	2731
93	282	2726
94	285	2722
95	288	2718
96	291	2713
97	294	2709
98	297	2704
99	300	2701
100	303	2697
101	306	2694
102	308	2690
103	311	2686
104	314	2683
105	317	2679
106	320	2675
107	323	2671
108	326	2667
109	329	2665
110	332	2662
111	335	2658
112	338	2655
113	341	2652
114	344	2649
115	347	2645
116	350	2642
117	353	2639
118	355	2635
119	359	2633
120	361	2629
121	364	2626
122	367	2622
123	370	2619
124	373	2616
125	376	2613
126	379	2609
127	382	2606
128	385	2604
129	388	2600
130	391	2598
131	395	2599
132	400	2611
133	404	2613
134	407	2612
135	410	2608
136	413	2605
137	416	2604
138	420	2602
139	423	2603
140	427	2602
141	430	2598
142	433	2596
143	436	2593
144	439	2591
145	442	2587
146	445	2583
147	448	2582
148	452	2582
149	456	2585
150	459	2582
151	462	2578
152	465	2574
153	469	2577
154	472	2576
155	475	2574
156	479	2575
157	483	2578
158	489	2587
159	493	2591
160	497	2593
161	502	2598
162	507	2607
163	513	2615
164	518	2626
165	523	2628
166	527	2629
167	536	2659
168	543	2671
169	548	2677
170	555	2691
171	559	2693
172	563	2694
173	567	2694
174	571	2693
175	578	2707
176	582	2709
177	587	2712
178	594	2724
179	598	2726
180	602	2728
181	608	2736
182	612	2736
183	615	2731
184	619	2727
185	622	2722
186	624	2716
187	627	2711
188	630	2706
189	633	2702
190	639	2709
191	643	2709
192	647	2707
193	651	2704
194	654	2703
195	658	2701
196	662	2698
197	665	2696
198	669	2694
199	673	2694
200	677	2691
201	680	2687
202	683	2682
203	686	2678
204	689	2673
205	692	2668
206	695	2664
207	699	2665
208	702	2660
209	705	2655
210	708	2650
211	713	2651
212	716	2647
213	719	2642
214	722	2637
215	725	2632
216	728	2627
217	731	2622
218	734	2617
219	736	2612
220	739	2607
221	742	2603
222	745	2598
223	748	2593
224	751	2588
225	754	2582
226	757	2578
227	760	2574
228	763	2570
229	766	2565
230	769	2560
231	772	2555
232	775	2551
233	777	2546
234	780	2541
235	783	2536
236	786	2532
237	789	2527
238	792	2522
239	795	2517
240	798	2513
241	800	2508
242	803	2504
243	806	2499
244	809	2494
245	812	2490
246	815	2485
247	818	2481
248	821	2477
249	824	2472
250	827	2467
251	829	2463
252	832	2459
253	835	2454
254	838	2449
255	841	2445
256	844	2441
257	847	2436
258	850	2432
259	853	2429
260	856	2425
261	859	2420
262	862	2416
263	866	2414
264	868	2410
265	871	2405
266	874	2401
267	877	2396
268	881	2394
269	884	2391
270	887	2387
271	890	2382
272	893	2378
273	896	2374
274	899	2370
275	901	2365
276	904	2361
277	907	2357
278	910	2353
279	913	2349
280	916	2345
281	919	2341
282	922	2337
283	925	2333
284	928	2329
285	931	2325
286	934	2321
287	937	2316
288	940	2312
289	942	2308
290	945	2304
291	948	2300
292	951	2296
293	954	2292
294	957	2287
295	960	2283
296	963	2279
297	966	2275
298	968	2271
299	971	2267
300	974	2263
301	977	2259
302	980	2255
303	983	2251
304	986	2247
305	989	2243
306	992	2241
307	1000	2247
308	1009	2258
309	1014	2257
310	1018	2256
311	1022	2255
312	1032	2265
313	1036	2265
314	1040	2262
315	1049	2271
316	1059	2282
317	1063	2280
318	1067	2279
319	1072	2278
320	1076	2277
321	1080	2274
322	1084	2273
323	1088	2271
324	1092	2269
325	1096	2266
326	1099	2263
327	1106	2266
328	1110	2264
329	1114	2263
330	1118	2259
331	1122	2257
332	1125	2255
333	1130	2254
334	1135	2254
335	1141	2255
336	1145	2253
337	1148	2249
338	1151	2244
339	1154	2241
340	1157	2237
341	1160	2232
342	1163	2228
343	1166	2223
344	1169	2219
345	1172	2215
346	1175	2211
347	1177	2206
348	1180	2202
349	1183	2198
350	1186	2194
351	1189	2190
352	1192	2185
353	1195	2181
354	1198	2177
355	1201	2173
356	1204	2168
357	1206	2164
358	1209	2160
359	1212	2155
360	1215	2151
361	1219	2149
362	1223	2146
363	1225	2142
364	1228	2137
365	1231	2133
366	1234	2129
367	1237	2125
368	1240	2121
369	1243	2118
370	1248	2116
371	1251	2112
372	1254	2108
373	1257	2104
374	1259	2099
375	1262	2095
376	1265	2091
377	1268	2087
378	1271	2083
379	1274	2079
380	1277	2074
381	1280	2071
382	1283	2067
383	1286	2063
384	1289	2059
385	1291	2055
386	1294	2051
387	1297	2047
388	1300	2043
389	1303	2039
390	1306	2034
391	1309	2031
392	1312	2026
393	1315	2022
394	1318	2018
395	1320	2014
396	1323	2010
397	1326	2006
398	1329	2002
399	1332	1998
400	1335	1994
401	1338	1990
402	1341	1986
403	1344	1982
404	1346	1978
405	1349	1974
406	1352	1970
407	1355	1966
408	1358	1962
409	1361	1958
410	1364	1954
411	1366	1950
412	1369	1946
413	1372	1943
414	1375	1939
415	1378	1935
416	1381	1930
417	1384	1927
418	1387	1923
419	1391	1922
420	1396	1920
421	1399	1916
422	1403	1914
423	1406	1910
424	1409	1907
425	1412	1903
426	1415	1899
427	1418	1895
428	1421	1892
429	1425	1890
430	1428	1886
431	1431	1882
432	1434	1879
433	1437	1875
434	1441	1871
435	1443	1867
436	1447	1864
437	1450	1860
438	1453	1857
439	1457	1854
440	1460	1850
441	1463	1847
442	1466	1843
443	1469	1839
444	1472	1836
445	1475	1832
446	1478	1828
447	1481	1824
448	1486	1823
449	1490	1821
450	1493	1818
451	1498	1816
452	1501	1813
453	1504	1809
454	1507	1805
455	1510	1802
456	1514	1799
457	1518	1797
458	1522	1794
459	1526	1792
460	1529	1788
461	1532	1784
462	1535	1780
463	1538	1776
464	1541	1773
465	1545	1771
466	1549	1768
467	1552	1764
468	1555	1761
469	1559	1758
470	1563	1755
471	1566	1752
472	1570	1749
473	1573	1746
474	1578	1744
475	1582	1742
476	1585	1738
477	1588	1734
478	1593	1732
479	1597	1730
480	1601	1728
481	1608	1728
482	1614	1727
483	1617	1724
484	1620	1720
485	1623	1716
486	1626	1713
487	1629	1709
488	1632	1706
489	1637	1704
490	1642	1702
491	1645	1699
492	1648	1695
493	1651	1691
494	1654	1687
495	1657	1684
496	1660	1680
497	1663	1677
498	1668	1675
499	1672	1672
500	1675	1668
501	1678	1664
502	1681	1661
503	1684	1657
504	1687	1654
505	1690	1650
506	1694	1647
507	1698	1645
508	1703	1643
509	1708	1641
510	1712	1638
511	1716	1635
512	1719	1632
513	1723	1630
514	1727	1627
515	1733	1626
516	1738	1624
517	1741	1620
518	1745	1617
519	1749	1614
520	1752	1611
521	1756	1608
522	1760	1605
523	1763	1602
524	1767	1599
525	1771	1596
526	1775	1593
527	1779	1590
528	1783	1587
529	1786	1584
530	1790	1581
531	1792	1577
532	1795	1573
533	1798	1569
534	1801	1565
535	1805	1562
536	1808	1559
537	1811	1555
538	1814	1551
539	1816	1547
540	1820	1544
541	1823	1540
542	1826	1537
543	1829	1533
544	1832	1529
545	1835	1526
546	1838	1522
547	1841	1518
548	1843	1514
549	1847	1511
550	1851	1508
551	1854	1505
552	1857	1501
553	1860	1497
554	1863	1493
555	1867	1491
556	1871	1488
557	1874	1484
558	1877	1481
559	1880	1477
560	1883	1473
561	1886	1470
562	1889	1466
563	1892	1462
564	1895	1459
565	1899	1456
566	1903	1453
567	1906	1449
568	1909	1446
569	1912	1442
570	1915	1438
571	1918	1435
572	1921	1431
573	1924	1428
574	1927	1425
575	1931	1421
576	1934	1418
577	1937	1414
