iter	Passed	Remaining
0	401	79860
1	817	80928
2	1227	80594
3	1632	80002
4	2039	79559
5	2493	80620
6	2878	79366
7	3253	78087
8	3617	76762
9	3990	75816
10	4388	75402
11	4785	74973
12	5233	75283
13	5652	75094
14	6114	75414
15	6579	75663
16	7101	76450
17	7539	76237
18	8008	76292
19	8438	75949
20	8929	76111
21	9412	76157
22	9843	75749
23	10261	75249
24	10718	75028
25	11215	75057
26	11689	74897
27	12149	74634
28	12593	74257
29	13090	74178
30	13569	73974
31	14035	73684
32	14448	73118
33	14894	72720
34	15403	72614
35	15863	72267
36	16321	71904
37	16782	71548
38	17289	71374
39	17815	71261
40	18316	71032
41	18799	70721
42	19288	70425
43	19785	70148
44	20267	69810
45	20752	69474
46	21187	68972
47	21689	68683
48	22200	68412
49	22675	68027
50	23119	67546
51	23626	67245
52	24081	66792
53	24570	66432
54	25021	65965
55	25505	65585
56	25962	65134
57	26424	64695
58	26916	64326
59	27453	64057
60	27959	63711
61	28401	63216
62	28853	62745
63	29302	62268
64	29784	61859
65	30255	61428
66	30692	60926
67	31139	60446
68	31593	59982
69	32050	59522
70	32502	59053
71	32959	58593
72	33421	58143
73	33877	57683
74	34293	57156
75	34757	56710
76	35182	56200
77	35650	55760
78	36127	55334
79	36596	54894
80	37034	54408
81	37481	53936
82	37993	53557
83	38468	53122
84	38918	52654
85	39360	52175
86	39780	51668
87	40227	51198
88	40703	50765
89	41158	50304
90	41583	49809
91	42044	49356
92	42534	48937
93	43015	48506
94	43468	48043
95	43905	47564
96	44356	47100
97	44788	46617
98	45305	46221
99	45758	45758
100	46210	45295
101	46678	44847
102	47114	44370
103	47557	43899
104	47998	43427
105	48478	42990
106	48963	42557
107	49453	42126
