iter	Passed	Remaining
0	192	959911
1	405	1013915
2	613	1021260
3	834	1041959
4	1044	1043717
5	1241	1032958
6	1436	1024448
7	1638	1022552
8	1871	1037670
9	2100	1048210
10	2283	1035720
11	2462	1023384
12	2647	1015678
13	2833	1009004
14	3020	1003916
15	3224	1004510
16	3431	1005711
17	3626	1003831
18	3820	1001557
19	4012	999143
20	4209	998118
21	4419	999973
22	4627	1001260
23	4811	997637
24	5002	995585
25	5209	996553
26	5404	995358
27	5629	999708
28	5848	1002506
29	6055	1003201
30	6251	1002127
31	6477	1005637
32	6682	1005860
33	6884	1005518
34	7087	1005451
35	7300	1006615
36	7484	1003908
37	7676	1002357
38	7881	1002529
39	8098	1004246
40	8316	1005925
41	8520	1005766
42	8733	1006770
43	8930	1005844
44	9133	1005686
45	9353	1007310
46	9553	1006736
47	9745	1005401
48	9946	1004965
49	10154	1005288
50	10343	1003767
51	10565	1005371
52	10761	1004428
53	10961	1003970
54	11166	1003961
55	11367	1003615
56	11563	1002780
57	11782	1003950
58	11990	1004113
59	12194	1003999
60	12401	1004115
61	12603	1003779
62	12819	1004584
63	13022	1004324
64	13212	1003147
65	13420	1003308
66	13621	1002895
67	13816	1002120
68	14018	1001831
69	14217	1001341
70	14405	1000100
71	14600	999313
72	14784	997885
73	14988	997719
74	15187	997283
75	15389	997075
76	15580	996130
77	15777	995597
78	15966	994566
79	16169	994444
80	16361	993632
81	16576	994199
82	16769	993432
83	16972	993280
84	17158	992166
85	17368	992412
86	17565	991922
87	17778	992387
88	17989	992634
89	18214	993709
90	18448	995196
91	18656	995276
92	18880	996187
93	19092	996470
94	19325	997800
95	19545	998451
96	19756	998599
97	19978	999320
98	20234	1001713
99	20440	1001565
100	20651	1001708
101	20868	1002106
102	21078	1002156
103	21317	1003584
104	21547	1004505
105	21751	1004248
106	21975	1004904
107	22186	1004973
108	22410	1005611
109	22628	1005957
110	22834	1005752
111	23060	1006430
112	23289	1007237
113	23523	1008229
114	23746	1008725
115	23964	1008991
116	24200	1009995
117	24425	1010565
118	24658	1011406
119	24881	1011827
120	25106	1012334
121	25326	1012642
122	25541	1012729
123	25752	1012664
124	25961	1012484
125	26194	1013264
126	26435	1014320
127	26640	1013986
128	26838	1013424
129	27051	1013395
130	27307	1014959
131	27524	1015073
132	27727	1014658
133	27944	1014772
134	28159	1014790
135	28383	1015137
136	28618	1015865
137	28845	1016289
138	29053	1016028
139	29271	1016150
140	29477	1015830
141	29715	1016616
142	29923	1016347
143	30142	1016455
144	30380	1017211
145	30594	1017175
146	30816	1017353
147	31034	1017414
148	31262	1017808
149	31477	1017783
150	31703	1018096
151	31907	1017673
152	32145	1018350
153	32365	1018447
154	32569	1018052
155	32793	1018285
156	33007	1018187
157	33226	1018232
158	33446	1018331
159	33660	1018238
160	33896	1018796
161	34103	1018466
162	34311	1018201
163	34540	1018514
164	34748	1018233
165	34960	1018077
166	35173	1017927
167	35389	1017882
168	35635	1018658
169	35849	1018535
170	36066	1018514
171	36284	1018503
172	36498	1018375
173	36704	1018018
174	36924	1018047
175	37139	1017961
176	37340	1017489
177	37563	1017578
178	37811	1018380
179	38055	1019054
180	38281	1019210
181	38483	1018757
182	38691	1018453
183	38911	1018472
184	39140	1018701
185	39358	1018674
186	39568	1018417
187	39773	1018024
188	40022	1018782
189	40228	1018424
190	40452	1018502
191	40658	1018163
192	40863	1017767
193	41085	1017828
194	41300	1017693
195	41535	1018046
196	41762	1018207
197	41963	1017727
198	42174	1017483
199	42401	1017639
200	42606	1017265
201	42848	1017756
202	43052	1017351
203	43251	1016826
204	43461	1016584
205	43675	1016405
206	43880	1016034
207	44102	1016050
208	44307	1015687
209	44560	1016394
210	44797	1016746
211	45011	1016575
212	45236	1016642
213	45458	1016658
214	45661	1016241
215	45873	1016005
216	46073	1015537
217	46299	1015613
218	46516	1015503
219	46723	1015168
220	46932	1014892
221	47142	1014619
222	47387	1015106
223	47622	1015381
224	47858	1015670
225	48134	1016786
226	48406	1017809
227	48641	1018049
228	48888	1018537
229	49095	1018188
230	49341	1018648
231	49564	1018636
232	49768	1018228
233	49994	1018268
234	50239	1018677
235	50477	1018967
236	50676	1018456
237	50882	1018073
238	51100	1017942
239	51328	1018011
240	51552	1018004
241	51754	1017560
242	51983	1017635
243	52199	1017464
244	52422	1017414
245	52649	1017470
246	52849	1016976
247	53054	1016601
248	53278	1016575
249	53503	1016567
250	53746	1016908
251	53964	1016757
252	54184	1016648
253	54411	1016689
254	54624	1016444
255	54841	1016279
256	55063	1016219
257	55270	1015861
258	55496	1015869
259	55703	1015512
260	55910	1015170
261	56135	1015150
262	56355	1015044
263	56565	1014755
264	56777	1014502
265	56993	1014306
266	57220	1014329
267	57458	1014520
268	57669	1014248
269	57896	1014261
270	58113	1014099
271	58357	1014397
272	58586	1014419
273	58790	1014028
274	59004	1013802
275	59216	1013546
276	59421	1013167
277	59649	1013177
278	59857	1012853
279	60072	1012654
280	60299	1012640
281	60518	1012511
282	60737	1012366
283	60972	1012493
